"Job.Title","Position","Employee.Identifier","Fiscal.Year.2012","Fiscal.Year.2013","Total.Biennium","agency"
"ACCOUNT TECHNICIAN II ","CL0212","1BE85BD943","$41,726.49","$44,420.11","$86,146.60","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","9B52F2E4F5","$37,518.66","$37,152.00","$74,670.66","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","F8F57DBE0F","$37,561.94","$38,020.00","$75,581.94","Adjutant General"
"ACCOUNT/BUDGET SPEC III ","CL0223","CAA5257192","$53,619.47","$53,928.00","$107,547.47","Adjutant General"
"ACCOUNTING MANAGER I","CL0224","4F0A8AC156","$78,901.80","$79,692.00","$158,593.80","Adjutant General"
"ACCOUNTING MANAGER II ","CL0225","550C68340C","$97,043.59","$98,196.00","$195,239.59","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","32F074FA0A","$29,595.81","$29,049.43","$58,645.24","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","A11293346E","$35,768.13","$35,616.00","$71,384.13","Adjutant General"
"ADMIN ASSISTANT II","CL0042","C2030D1DA2","$35,029.88","$35,604.00","$70,633.88","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","2D72685902","$6,400.00","$35,168.00","$41,568.00","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","3EF0F075A5","$43,767.95","$43,668.00","$87,435.95","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","B1697117BA","","$5,837.22","$5,837.22","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","FE5D3E5DCA","$26,199.09","","$26,199.09","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","FF9543640A","$42,724.23","$30,438.36","$73,162.59","Adjutant General"
"ADMIN OFR I ","CL0911","3C011393AA","$21,138.25","","$21,138.25","Adjutant General"
"ADMIN OFR I ","CL0911","BDA0E03A22","$13,379.75","$34,290.00","$47,669.75","Adjutant General"
"ADMIN OFR I ","CL0911","BEB784DC2A","$40,367.12","$40,896.00","$81,263.12","Adjutant General"
"ADMIN OFR II","CL0912","221F88325C","$41,809.51","$47,099.26","$88,908.77","Adjutant General"
"ADMIN OFR II","CL0912","93E19DCCB6","$46,515.24","$46,596.00","$93,111.24","Adjutant General"
"ADMIN OFR II","CL0912","A7F8F2BC89","$25,589.14","","$25,589.14","Adjutant General"
"ADMIN OFR II","CL0912","B67E72091E","","$44,890.00","$44,890.00","Adjutant General"
"ADMIN OFR II","CL0912","D6BCC517B7","$16,041.53","","$16,041.53","Adjutant General"
"ADMIN STAFF OFFICER I ","CL0951","E70FAE0AAC","$41,988.87","$42,108.00","$84,096.87","Adjutant General"
"ADMIN STAFF OFFICER II","CL0952","8D7580A6D1","$45,922.22","$47,940.00","$93,862.22","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","7849D4E6DC","$48,330.63","$51,336.00","$99,666.63","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","F761442CD5","$49,879.77","$49,812.00","$99,691.77","Adjutant General"
"APPOINTED--NOT CLASSIFIED ","NC9002","4BFF34F6D5","$143,734.17","$143,488.35","$287,222.52","Adjutant General"
"ASST MANAGER, ND VETS CEMETERY","CL0908","CE432FCB83","","$42,948.00","$42,948.00","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","0FC823ED2A","","$62.50","$62.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","A4D49823CA","$62.50","$125.00","$187.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","B6AFD3E688","$62.50","","$62.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","BB979873FF","$62.50","$125.00","$187.50","Adjutant General"
"BUSINESS MANAGER II ","CL0432","DEA63C30E3","$55,976.62","$59,712.00","$115,688.62","Adjutant General"
"BUSINESS MANAGER II ","CL0432","F4CF0F7FBD","$60,699.49","$61,272.00","$121,971.49","Adjutant General"
"CARPENTER I ","CL8221","AE34AF8DFF","$41,081.18","$41,052.00","$82,133.18","Adjutant General"
"CARPENTER II","CL8222","552F9A3014","$34,860.44","$34,692.00","$69,552.44","Adjutant General"
"CARPENTER II","CL8222","6C4052E4E3","$40,112.97","$40,056.00","$80,168.97","Adjutant General"
"CARPENTER II","CL8222","B80FE125C4","$19,139.56","$37,864.13","$57,003.69","Adjutant General"
"CARPENTER III ","CL8223","2058BBBDCC","$50,908.49","$50,892.00","$101,800.49","Adjutant General"
"CARPENTER III ","CL8223","68C5669BF8","$45,312.37","$46,320.00","$91,632.37","Adjutant General"
"CARPENTER III ","CL8223","FE7F8BCE60","$41,492.67","$41,664.00","$83,156.67","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","065A2D26C7","","$861.99","$861.99","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","0EA7CB5E1C","$31,526.45","$28,342.47","$59,868.92","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","106C9B1186","$8,962.35","","$8,962.35","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","5A35C66C21","$31,417.50","$25,437.24","$56,854.74","Adjutant General"
