"Job.Title","Position","Employee.Identifier","Fiscal.Year.2014","Fiscal.Year.2015","Total.Biennium","agency"
"ACCOUNT TECHNICIAN II ","CL0212","1BE85BD943","$45,640.24","$47,534.65","$93,174.89","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","9B52F2E4F5","$38,628.00","$40,332.00","$78,960.00","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","F8F57DBE0F","$42,096.00","$43,368.00","$85,464.00","Adjutant General"
"ACCOUNT/BUDGET SPEC III ","CL0223","CAA5257192","$56,928.00","$58,548.00","$115,476.00","Adjutant General"
"ACCOUNTING MANAGER I","CL0224","4F0A8AC156","$82,810.00","$85,344.00","$168,154.00","Adjutant General"
"ACCOUNTING MANAGER II ","CL0225","550C68340C","$102,120.00","$105,180.00","$207,300.00","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","32F074FA0A","$31,407.09","$32,148.00","$63,555.09","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","A11293346E","$37,056.00","$38,172.00","$75,228.00","Adjutant General"
"ADMIN ASSISTANT II","CL0042","C2030D1DA2","$37,812.00","$41,400.00","$79,212.00","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","2D72685902","$38,388.00","$39,531.37","$77,919.37","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","3EF0F075A5","$11,239.77","","$11,239.77","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","B1697117BA","$37,156.00","$40,428.00","$77,584.00","Adjutant General"
"ADMIN OFR I ","CL0911","BDA0E03A22","$36,744.00","$38,230.12","$74,974.12","Adjutant General"
"ADMIN OFR I ","CL0911","BEB784DC2A","$43,344.00","$45,672.00","$89,016.00","Adjutant General"
"ADMIN OFR II","CL0912","221F88325C","$53,997.76","$54,526.17","$108,523.93","Adjutant General"
"ADMIN OFR II","CL0912","93E19DCCB6","$49,440.00","$52,812.00","$102,252.00","Adjutant General"
"ADMIN OFR II","CL0912","B67E72091E","$64,070.73","$55,494.84","$119,565.57","Adjutant General"
"ADMIN STAFF OFFICER I ","CL0951","E70FAE0AAC","$44,508.00","$47,004.00","$91,512.00","Adjutant General"
"ADMIN STAFF OFFICER II","CL0952","8D7580A6D1","$50,460.00","$55,104.00","$105,564.00","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","7849D4E6DC","$54,612.00","$58,764.00","$113,376.00","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","F761442CD5","$52,752.00","$54,384.00","$107,136.00","Adjutant General"
"APPOINTED--NOT CLASSIFIED ","NC9002","4BFF34F6D5","$155,222.03","$166,752.29","$321,974.32","Adjutant General"
"ASST MANAGER, ND VETS CEMETERY","CL0908","CE432FCB83","$45,612.00","$48,792.00","$94,404.00","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","0FC823ED2A","$62.50","$125.00","$187.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","A4D49823CA","$62.50","$125.00","$187.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","BB979873FF","$62.50","$125.00","$187.50","Adjutant General"
"BRD/COMM-NOT CLASSIFIED ","NC9006","D1FA306AC5","$62.50","$125.00","$187.50","Adjutant General"
"BUSINESS MANAGER II ","CL0432","51522A06A9","","$55,986.90","$55,986.90","Adjutant General"
"BUSINESS MANAGER II ","CL0432","DEA63C30E3","$65,940.00","$5,660.00","$71,600.00","Adjutant General"
"BUSINESS MANAGER II ","CL0432","F4CF0F7FBD","$64,968.00","$69,420.00","$134,388.00","Adjutant General"
"CARPENTER I ","CL8221","AE34AF8DFF","$42,720.00","$44,004.00","$86,724.00","Adjutant General"
"CARPENTER II","CL8222","552F9A3014","$36,792.00","$37,896.00","$74,688.00","Adjutant General"
"CARPENTER II","CL8222","6C4052E4E3","$42,144.00","$43,824.00","$85,968.00","Adjutant General"
"CARPENTER II","CL8222","B80FE125C4","$42,144.00","$43,344.00","$85,488.00","Adjutant General"
"CARPENTER III ","CL8223","2058BBBDCC","$46,474.16","","$46,474.16","Adjutant General"
"CARPENTER III ","CL8223","68C5669BF8","$48,636.00","$50,100.00","$98,736.00","Adjutant General"
"CARPENTER III ","CL8223","7921F015B5","","$31,180.09","$31,180.09","Adjutant General"
"CARPENTER III ","CL8223","FE7F8BCE60","$43,764.00","$45,504.00","$89,268.00","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","0840FAF952","$6,032.38","","$6,032.38","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","11A4633AED","$16,544.25","$23,504.42","$40,048.67","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","1C4B8FA4C0","$8,670.06","$26,267.89","$34,937.95","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","1F84C874AE","$15,244.24","$38,208.24","$53,452.48","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","20C8871750","","$1,458.55","$1,458.55","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","52AEF21563","","$14,815.47","$14,815.47","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","5A6BC26A15","$7,713.00","$5,527.32","$13,240.32","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","5FCA7B5240","","$11,066.25","$11,066.25","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","6628333F3D","$17,756.60","","$17,756.60","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","A474DBB51A","$4,803.17","","$4,803.17","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","BDC92F9A07","$35,533.94","$15,685.56","$51,219.50","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","C4EE0B6357","","$9,350.43","$9,350.43","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","CD874C85E7","","$33,656.49","$33,656.49","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","CE534523AF","","$23,236.06","$23,236.06","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","D4851E36A6","","$12,699.94","$12,699.94","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","DFEF021522","$39,122.82","$40,663.40","$79,786.22","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","EA5D4B9BA2","$2,973.85","","$2,973.85","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","F405ADD3F2","$8,171.96","","$8,171.96","Adjutant General"
"COMMUNICATIONS SPEC I ","CL5021","F47F0901EB","$25,326.19","","$25,326.19","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","01ADCB35F7","$5,731.64","","$5,731.64","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","03B6690364","$19,259.56","$52,462.35","$71,721.91","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","04339C94A1","$13,113.83","","$13,113.83","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","0EA7CB5E1C","$45,200.32","$47,268.19","$92,468.51","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","16B207AE80","$56,924.28","$55,900.42","$112,824.70","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","4A04071527","$34,980.17","","$34,980.17","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","52AEF21563","","$16,471.87","$16,471.87","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","5A35C66C21","$43,995.56","$13,772.60","$57,768.16","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","659DE9858B","$24,588.33","","$24,588.33","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","6628333F3D","$14,244.86","$47,938.19","$62,183.05","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","69845A3EA1","$34,251.25","","$34,251.25","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","97B912EE04","$52,405.06","$52,454.54","$104,859.60","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","9AA870B047","$47,241.77","$47,521.00","$94,762.77","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","A474DBB51A","$21,777.93","","$21,777.93","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","B8015E764C","$63,636.30","$62,999.02","$126,635.32","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","BC307788FC","$31,974.04","$16,510.62","$48,484.66","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","C4EE0B6357","$2,350.76","","$2,350.76","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","C8F19A720A","$47,441.84","$50,205.39","$97,647.23","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","CDB8954797","$57,410.45","$59,344.95","$116,755.40","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","E6F2A02072","$48,161.14","$25,896.25","$74,057.39","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","E96BF19EA5","$47,039.79","$49,422.69","$96,462.48","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","EA5D4B9BA2","$2,052.00","","$2,052.00","Adjutant General"
"COMMUNICATIONS SPEC II","CL5022","FCD05566E4","","$26,330.53","$26,330.53","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","4A04071527","$17,872.50","$59,779.01","$77,651.51","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","5A35C66C21","","$38,370.48","$38,370.48","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","69845A3EA1","$16,116.14","$52,922.84","$69,038.98","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","960AC4D770","$63,735.86","$64,146.17","$127,882.03","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","C72AE7E8AF","$37,362.18","","$37,362.18","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","E13949DE8D","$38,801.58","","$38,801.58","Adjutant General"
"COMMUNICATIONS SPEC III ","CL5023","FBBAE844EF","$53,187.56","$9,119.50","$62,307.06","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","03B6690364","$35,001.33","","$35,001.33","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","8F2C83EA2E","$74,795.33","$76,885.87","$151,681.20","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","A1BBC5EC4D","$55,921.38","$59,492.46","$115,413.84","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","B90B3519F2","$79,026.24","$82,672.40","$161,698.64","Adjutant General"
"COMMUNICATIONS SUPERVISOR ","CL5024","C72AE7E8AF","$19,401.78","$59,970.47","$79,372.25","Adjutant General"
"COMPUTER & NETWK SPEC II","CL0174","3A87588D17","$39,435.09","","$39,435.09","Adjutant General"
"COMPUTER & NETWK SPEC II","CL0174","CF64F5069C","$35,752.00","","$35,752.00","Adjutant General"
"COMPUTER & NETWK SPEC III ","CL0175","3A87588D17","$20,293.79","$63,663.18","$83,956.97","Adjutant General"
"COMPUTER & NETWK SPEC III ","CL0175","CF64F5069C","$18,545.00","$61,195.29","$79,740.29","Adjutant General"
"CONST COORD-NAT'L GUARD ","CL2400","4E8E067AEA","$36,132.93","$64,248.00","$100,380.93","Adjutant General"
"CONST COORD-NAT'L GUARD ","CL2400","DDFE314C9D","$22,204.99","","$22,204.99","Adjutant General"
