"Job.Title","Position","Employee.Identifier","Fiscal.Year.2010","Fiscal.Year.2011","Total.Biennium","agency"
"ACCOUNT TECHNICIAN II ","CL0212","1BE85BD943","$39,971.22","$36,983.55","$76,954.77","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","9B52F2E4F5","$33,835.84","$35,615.30","$69,451.14","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","F8F57DBE0F","$33,493.46","$34,963.35","$68,456.81","Adjutant General"
"ACCOUNT/BUDGET SPEC III ","CL0223","CAA5257192","$48,252.00","$50,904.00","$99,156.00","Adjutant General"
"ACCOUNTING MANAGER I","CL0224","4F0A8AC156","$71,400.00","$75,162.26","$146,562.26","Adjutant General"
"ACCOUNTING MANAGER II ","CL0225","550C68340C","$87,360.00","$95,727.77","$183,087.77","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","32F074FA0A","$26,388.00","$27,792.00","$54,180.00","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","A11293346E","$31,824.00","$33,576.00","$65,400.00","Adjutant General"
"ADMIN ASSISTANT II","CL0042","C2030D1DA2","$30,624.00","$32,789.73","$63,413.73","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","3EF0F075A5","$39,948.00","$41,688.00","$81,636.00","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","FE5D3E5DCA","$34,524.00","$36,456.00","$70,980.00","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","FF9543640A","$39,328.65","$41,616.06","$80,944.71","Adjutant General"
"ADMIN OFR I ","CL0911","3C011393AA","$31,092.00","$33,696.94","$64,788.94","Adjutant General"
"ADMIN OFR I ","CL0911","BEB784DC2A","$36,192.00","$38,004.00","$74,196.00","Adjutant General"
"ADMIN OFR II","CL0912","221F88325C","$17,988.34","$41,774.16","$59,762.50","Adjutant General"
"ADMIN OFR II","CL0912","8D7580A6D1","$19,356.00","","$19,356.00","Adjutant General"
"ADMIN OFR II","CL0912","93E19DCCB6","$41,796.00","$43,884.00","$85,680.00","Adjutant General"
"ADMIN OFR II","CL0912","D6BCC517B7","$42,768.00","$49,207.95","$91,975.95","Adjutant General"
"ADMIN STAFF OFFICER I ","CL0951","E70FAE0AAC","$36,816.00","$39,600.00","$76,416.00","Adjutant General"
"ADMIN STAFF OFFICER II","CL0952","8D7580A6D1","$22,587.11","$47,965.43","$70,552.54","Adjutant General"
"ADMIN STAFF OFFICER II","CL0952","AE1C70970C","$17,690.00","","$17,690.00","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","7849D4E6DC","$13,614.71","$45,605.68","$59,220.39","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","95BDF4AB90","$42,008.48","","$42,008.48","Adjutant General"
"ADMIN STAFF OFFICER III ","CL0953","F761442CD5","$45,124.24","$47,328.00","$92,452.24","Adjutant General"
