"Job.Title","Position","Employee.Identifier","Fiscal.Year.2008","Fiscal.Year.2009","Total.Biennium","agency"
"ACCOUNT TECHNICIAN II ","CL0212","1BE85BD943","$29,959.17","$34,351.62","$64,310.79","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","3EDB53C6F1","$18,960.48","","$18,960.48","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","9B52F2E4F5","$30,579.96","$31,982.85","$62,562.81","Adjutant General"
"ACCOUNT TECHNICIAN II ","CL0212","F8F57DBE0F","$6,846.00","$30,041.85","$36,887.85","Adjutant General"
"ACCOUNT/BUDGET SPEC III ","CL0223","CAA5257192","$43,012.00","$45,804.00","$88,816.00","Adjutant General"
"ACCOUNT/BUDGET SPEC III ","CL0223","D8AC2085D7","$12,675.92","","$12,675.92","Adjutant General"
"ACCOUNTING MANAGER I","CL0224","4F0A8AC156","$33,688.57","$68,645.77","$102,334.34","Adjutant General"
"ACCOUNTING MANAGER II ","CL0225","550C68340C","$78,300.00","$87,983.68","$166,283.68","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","32F074FA0A","$23,295.48","$25,225.59","$48,521.07","Adjutant General"
"ADMIN ASSISTANT I ","CL0041","A11293346E","$28,632.00","$30,312.00","$58,944.00","Adjutant General"
"ADMIN ASSISTANT II","CL0042","C2030D1DA2","$17,020.00","$29,496.70","$46,516.70","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","3EF0F075A5","$35,856.00","$37,416.00","$73,272.00","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","FE5D3E5DCA","$30,528.00","$32,700.00","$63,228.00","Adjutant General"
"ADMIN ASSISTANT III ","CL0043","FF9543640A","$33,674.86","$38,091.22","$71,766.08","Adjutant General"
"ADMIN OFR I ","CL0911","3C011393AA","$28,080.00","$29,616.00","$57,696.00","Adjutant General"
"ADMIN OFR I ","CL0911","93E19DCCB6","$17,317.83","","$17,317.83","Adjutant General"
"ADMIN OFR I ","CL0911","BEB784DC2A","$7,992.00","$33,840.00","$41,832.00","Adjutant General"
"ADMIN OFR II","CL0912","8D7580A6D1","$35,090.04","$39,876.28","$74,966.32","Adjutant General"
"ADMIN OFR II","CL0912","93E19DCCB6","$19,621.27","$39,810.89","$59,432.16","Adjutant General"
"ADMIN OFR II","CL0912","D6BCC517B7","$39,837.60","$46,924.28","$86,761.88","Adjutant General"
